Index_Relative,Longitude,Latitude,Time,Platform,Index_ABS
25,-0.9847999811172485,59.2848014831543,2003-01-12 19:55:32,AA,25
26,-0.6563000082969666,59.2848014831543,2003-01-12 21:10:15,AA,26
27,-0.3617999851703644,59.2848014831543,2003-01-12 22:13:23,AA,27
28,0.006500000134110451,59.281700134277344,2003-01-12 23:30:54,AA,28
29,0.3292999863624573,59.284698486328125,2003-01-13 00:56:57,AA,29
30,0.6779999732971191,59.28379821777344,2003-01-13 02:09:24,AA,30
31,1.003499984741211,59.28219985961914,2003-01-13 03:33:57,AA,31
32,1.3131999969482422,59.28219985961914,2003-01-13 04:40:54,AA,32
33,1.6562999486923218,59.28379821777344,2003-01-13 06:05:43,AA,33
34,2.012500047683716,59.284000396728516,2003-01-13 09:24:54,AA,34
35,2.246999979019165,59.28450012207031,2003-01-13 10:13:56,AA,35
36,2.5167999267578125,59.28200149536133,2003-01-13 12:21:50,AA,36
37,2.751300096511841,59.28369903564453,2003-01-13 13:14:38,AA,37
38,2.9019999504089355,59.28269958496094,2003-01-13 14:10:33,AA,38
39,3.074199914932251,59.28730010986328,2003-01-13 14:45:31,AA,39
40,3.227299928665161,59.28300094604492,2003-01-13 16:13:40,AA,40
41,3.3631999492645264,59.28350067138672,2003-01-14 11:08:41,AA,41
42,3.5336999893188477,59.283199310302734,2003-01-14 11:56:10,AA,42
43,3.682499885559082,59.28300094604492,2003-01-14 12:39:24,AA,43
44,3.849299907684326,59.28620147705078,2003-01-14 13:25:51,AA,44
45,4.032700061798096,59.28919982910156,2003-01-14 14:12:24,AA,45
46,4.18120002746582,59.288299560546875,2003-01-14 14:49:52,AA,46
47,4.333799839019775,59.284698486328125,2003-01-14 15:27:10,AA,47
48,4.499199867248535,59.283199310302734,2003-01-14 16:09:33,AA,48
49,4.668000221252441,59.28329849243164,2003-01-14 16:53:05,AA,49
50,4.822000026702881,59.2843017578125,2003-01-14 17:38:06,AA,50
51,4.933800220489502,59.28269958496094,2003-01-14 18:15:44,AA,51
52,5.031199932098389,59.284000396728516,2003-01-14 18:45:49,AA,52
53,8.084500312805176,58.050498962402344,2003-01-19 03:59:43,AA,53
54,8.101200103759766,57.98379898071289,2003-01-19 04:37:48,AA,54
55,8.163200378417969,57.91579818725586,2003-01-19 05:22:18,AA,55
56,8.200200080871582,57.85129928588867,2003-01-19 06:04:33,AA,56
57,8.284000396728516,57.73529815673828,2003-01-19 07:13:32,AA,57
58,8.336199760437012,57.64970016479492,2003-01-19 08:02:22,AA,58
59,8.38070011138916,57.54679870605469,2003-01-19 08:59:07,AA,59
60,8.4197998046875,57.481998443603516,2003-01-19 09:33:27,AA,60
61,8.46780014038086,57.39870071411133,2003-01-19 10:14:14,AA,61
62,8.503800392150879,57.316001892089844,2003-01-19 10:55:50,AA,62
63,8.555800437927246,57.23400115966797,2003-01-19 11:36:39,AA,63
64,7.682700157165527,57.40250015258789,2003-01-19 17:45:35,AA,64
65,7.952499866485596,57.00149917602539,2003-01-19 21:58:56,AA,65
66,7.653500080108643,57.00279998779297,2003-01-19 23:27:33,AA,66
67,7.353799819946289,56.99980163574219,2003-01-20 00:47:16,AA,67
68,6.997499942779541,57.00170135498047,2003-01-20 02:19:25,AA,68
69,6.6717000007629395,57.00130081176758,2003-01-20 03:54:16,AA,69
70,6.337699890136719,57.00019836425781,2003-01-20 05:29:17,AA,70
71,6.004799842834473,56.999298095703125,2003-01-20 07:06:14,AA,71
72,5.832200050354004,56.88169860839844,2003-01-20 08:20:59,AA,72
73,6.254300117492676,56.676300048828125,2003-01-20 12:37:18,AA,73
74,5.768700122833252,56.779300689697266,2003-01-20 15:08:42,AA,74
75,5.6682000160217285,57.00130081176758,2003-01-20 18:16:12,AA,75
76,5.195499897003174,56.99879837036133,2003-01-20 20:47:51,AA,76
77,6.117300033569336,57.18479919433594,2003-01-21 07:17:41,AA,77
78,5.738699913024902,57.22600173950195,2003-01-21 09:52:24,AA,78
79,4.645699977874756,57.838199615478516,2003-01-21 16:46:19,AA,79
80,4.697500228881836,57.000701904296875,2003-01-22 05:56:00,AA,80
81,4.492199897766113,57.13019943237305,2003-01-22 07:15:37,AA,81
82,4.301300048828125,57.000701904296875,2003-01-22 09:17:16,AA,82
83,4.171299934387207,56.87080001831055,2003-01-22 10:14:51,AA,83
84,3.898699998855591,57.003501892089844,2003-01-22 12:01:58,AA,84
85,3.6691999435424805,57.00130081176758,2003-01-22 12:51:27,AA,85
86,3.395699977874756,57.000701904296875,2003-01-22 14:47:58,AA,86
87,3.1273000240325928,57.89649963378906,2003-01-23 07:48:58,AA,87
88,2.9519999027252197,57.737300872802734,2003-01-23 10:34:34,AA,88
89,2.625999927520752,57.26599884033203,2003-01-23 14:02:28,AA,89
90,2.753999948501587,56.920799255371094,2003-01-23 17:29:35,AA,90
91,2.9296998977661133,56.99980163574219,2003-01-23 18:22:33,AA,91
92,2.498699903488159,57.00230026245117,2003-01-23 19:46:36,AA,92
93,2.066800117492676,56.99980163574219,2003-01-23 21:13:03,AA,93
94,1.7992000579833984,56.999698638916016,2003-01-23 22:07:54,AA,94
95,1.6002000570297241,57.00130081176758,2003-01-23 22:49:38,AA,95
96,1.1360000371932983,57.0004997253418,2003-01-24 00:23:21,AA,96
97,0.6697999835014343,56.999298095703125,2003-01-24 01:57:22,AA,97
98,0.23119999468326569,56.99879837036133,2003-01-24 03:30:05,AA,98
99,-0.23250000178813934,56.999298095703125,2003-01-24 05:14:13,AA,99
100,-0.6983000040054321,57.00019836425781,2003-01-24 07:00:02,AA,100
101,-1.1273000240325928,57.00130081176758,2003-01-24 08:31:45,AA,101
102,-1.465999960899353,57.00230026245117,2003-01-24 09:46:18,AA,102
103,2.4753000736236572,58.20349884033203,2003-01-26 07:53:25,AA,103
104,2.450000047683716,58.698299407958984,2003-01-26 11:33:24,AA,104
105,3.5894999504089355,58.713199615478516,2003-01-26 15:16:50,AA,105
106,3.858299970626831,58.49020004272461,2003-01-26 17:35:14,AA,106
107,4.177999973297119,58.313201904296875,2003-01-26 19:55:12,AA,107
108,3.1493000984191895,59.71730041503906,2003-01-27 07:44:14,AA,108
109,2.752700090408325,59.63029861450195,2003-01-27 10:41:34,AA,109
115,1.2741999626159668,59.701698303222656,2003-01-28 17:59:37,AA,115
116,0.815500020980835,59.667198181152344,2003-01-28 20:30:07,AA,116
